web-1  | 2024-09-15T21:36:17.029693391Z Watching for file changes with StatReloader
web-1  | 2024-09-15T21:36:17.029727639Z Watching for file changes with StatReloader
web-1  | 2024-09-15T21:36:17.035119600Z Waiting for apps ready_event.
web-1  | 2024-09-15T21:36:17.036397975Z Waiting for apps ready_event.
web-1  | 2024-09-15T21:36:17.133025728Z Apps ready_event triggered. Sending autoreload_started signal.
web-1  | 2024-09-15T21:36:17.133046942Z Apps ready_event triggered. Sending autoreload_started signal.
web-1  | 2024-09-15T21:36:17.145537536Z Watching dir /usr/local/lib/python3.10/site-packages/rest_framework/templates with glob **/*.
web-1  | 2024-09-15T21:36:17.145557350Z Watching dir /usr/local/lib/python3.10/site-packages/rest_framework/templates with glob **/*.
web-1  | 2024-09-15T21:36:17.145562131Z Watching dir /app/locale with glob **/*.mo.
web-1  | 2024-09-15T21:36:17.145563667Z Watching dir /app/locale with glob **/*.mo.
web-1  | 2024-09-15T21:36:17.145696700Z Watching dir /app/ingestion/locale with glob **/*.mo.
web-1  | 2024-09-15T21:36:17.145700212Z Watching dir /app/ingestion/locale with glob **/*.mo.
web-1  | 2024-09-15T21:36:17.145748238Z Watching dir /usr/local/lib/python3.10/site-packages/rest_framework/locale with glob **/*.mo.
web-1  | 2024-09-15T21:36:17.145760992Z Watching dir /usr/local/lib/python3.10/site-packages/rest_framework/locale with glob **/*.mo.
web-1  | 2024-09-15T21:36:17.202044823Z (0.002) 
web-1  | 2024-09-15T21:36:17.202067787Z             SELECT name, type FROM sqlite_master
web-1  | 2024-09-15T21:36:17.202069665Z             WHERE type in ('table', 'view') AND NOT name='sqlite_sequence'
web-1  | 2024-09-15T21:36:17.202071280Z             ORDER BY name; args=None; alias=default
web-1  | 2024-09-15T21:36:17.202073103Z (0.002) 
web-1  | 2024-09-15T21:36:17.202074528Z             SELECT name, type FROM sqlite_master
web-1  | 2024-09-15T21:36:17.202075974Z             WHERE type in ('table', 'view') AND NOT name='sqlite_sequence'
web-1  | 2024-09-15T21:36:17.202077472Z             ORDER BY name; args=None; alias=default
web-1  | 2024-09-15T21:36:17.204860175Z (0.001) SELECT "django_migrations"."id", "django_migrations"."app", "django_migrations"."name", "django_migrations"."applied" FROM "django_migrations"; args=(); alias=default
web-1  | 2024-09-15T21:36:17.204880066Z (0.001) SELECT "django_migrations"."id", "django_migrations"."app", "django_migrations"."name", "django_migrations"."applied" FROM "django_migrations"; args=(); alias=default
web-1  | 2024-09-15T21:36:17.229261767Z File /usr/local/lib/python3.10/site-packages/sqlparse/exceptions.py first seen with mtime 1726430912.5574245
web-1  | 2024-09-15T21:36:17.229278322Z File /usr/local/lib/python3.10/site-packages/sqlparse/exceptions.py first seen with mtime 1726430912.5574245
web-1  | 2024-09-15T21:36:17.229280095Z File /usr/local/lib/python3.10/concurrent/futures/__init__.py first seen with mtime 1726175429.0
web-1  | 2024-09-15T21:36:17.229281632Z File /usr/local/lib/python3.10/concurrent/futures/__init__.py first seen with mtime 1726175429.0
web-1  | 2024-09-15T21:36:17.229283119Z File /usr/local/lib/python3.10/site-packages/django/contrib/auth/management/__init__.py first seen with mtime 1726430913.0174263
web-1  | 2024-09-15T21:36:17.229310069Z File /usr/local/lib/python3.10/site-packages/django/contrib/auth/management/__init__.py first seen with mtime 1726430913.0174263
web-1  | 2024-09-15T21:36:17.229312122Z File /usr/local/lib/python3.10/site-packages/django/core/serializers/base.py first seen with mtime 1726430913.3174276
web-1  | 2024-09-15T21:36:17.229313730Z File /usr/local/lib/python3.10/site-packages/django/core/serializers/base.py first seen with mtime 1726430913.3174276
web-1  | 2024-09-15T21:36:17.229315433Z File /usr/local/lib/python3.10/site-packages/django/utils/dates.py first seen with mtime 1726430913.3574276
web-1  | 2024-09-15T21:36:17.229316974Z File /usr/local/lib/python3.10/site-packages/django/utils/dates.py first seen with mtime 1726430913.3574276
web-1  | 2024-09-15T21:36:17.229318499Z File /usr/local/lib/python3.10/site-packages/rest_framework/schemas/generators.py first seen with mtime 1726430914.147431
web-1  | 2024-09-15T21:36:17.229320022Z File /usr/local/lib/python3.10/site-packages/rest_framework/schemas/generators.py first seen with mtime 1726430914.147431
web-1  | 2024-09-15T21:36:17.229321592Z File /usr/local/lib/python3.10/site-packages/django/core/checks/compatibility/django_4_0.py first seen with mtime 1726430913.3074274
web-1  | 2024-09-15T21:36:17.229323196Z File /usr/local/lib/python3.10/site-packages/django/core/checks/compatibility/django_4_0.py first seen with mtime 1726430913.3074274
web-1  | 2024-09-15T21:36:17.229324751Z File /usr/local/lib/python3.10/site-packages/django/utils/timezone.py first seen with mtime 1726430913.3674278
web-1  | 2024-09-15T21:36:17.229326287Z File /usr/local/lib/python3.10/site-packages/django/utils/timezone.py first seen with mtime 1726430913.3674278
